ID;Nazwa;Ilosc Real;Ilosc Fakt;Roznica Fakt Norm
1115;Zestaw Lekarski 132799;7;7;0
5292;Zestaw lekarski   /107568/;0;2;2
4390;ZESTAW LEKARSKI                                 215146;0;0;0
359;"ZESTAW LALEK 7"" W PUDEŁKU /MPA12116/            121162";0;0;0
5366;Zestaw lalek 13086 ;0;0;0
3004;Zestaw kuchnia /965736/;3;3;0
5395;Zestaw kuchenny361391;0;8;8
2191;Zestaw kuchenny Stół + krzesła 007510;21;29;8
2536;Zestaw kuchenny na blistrze 995746;0;9;9
5138;Zestaw kuchenny na blistrze;0;0;0
5201;Zestaw kuchenny blister TG369820/802184/;1;15;14
5296;Zestaw kuchenny /458325/;0;0;0
4573;Zestaw Kuchenny 803877;31;35;4
1383;Zestaw kuchenny 756197;0;1;1
5297;Zestaw kuchenny 496860;0;27;27
903;Zestaw kuchenny 447736;26;39;13
4161;Zestaw kuchenny 141821;1;4;3
5457;Zestaw kuchenny 069693;17;20;3
4066;Zestaw kuchenny  /986065/;0;0;0
5273;Zestaw Kuchenny  /973171/;0;0;0
4265;ZESTAW KUCHENNY;0;2;2
4535;Zestaw kuchenny;0;0;0
5318;Zestaw księżnczki, korona, diadem i akc. /004292/;0;0;0
1106;Zestaw kreatywny /128624/;0;0;0
1107;Zestaw kreatywny /128617/;0;0;0
220;ZESTAW KOWBOJA NA KARCIE /G045030/              949251;0;0;0
252;ZESTAW KORALIKÓW PUD./022732/REG                613628;0;0;0
2107;Zestaw koralików i ozdób 3 wz. 309485;0;0;0
4574;Zestaw koralików 295245;36;36;0
3532;ZESTAW KOŃ 30CM.+K0NIK 18CM. /MPF63909/         639094;0;0;0
1913;Zestaw koników Llili 5 szt. 300666;6;6;0
5142;Zestaw karabin z łukiem 872856;0;1;1
2273;Zestaw herbaciany 028501;15;15;0
1305;Zestaw grzechotek 392039;0;16;16
5183;Zestaw gier plenerowych 303315;5;5;0
123;Zestaw fryzjerski 682163;0;12;12
1262;Zestaw fryzjerski 137138;0;0;0
5402;Zestaw fryzjerka 056090;0;7;7
3133;Zestaw fast food 407999;9;9;0
584;Zestaw fast food - Sandwich /display 10szt/ 408002;44;46;2
