Lp;Kod;Nazwa;Ilość;Wartość magazynowa;Wartość magazynowa 1;Ostatnia zakupu [netto];Ostatnia zakupu [netto] 1;Detal [netto] [PLN];Detal [netto] [PLN] 1;Detal [brutto] [PLN];Detal [brutto] [PLN] 1;% narzutu;Mag.;Chodliwość:Towar
1787;04256;MASKOTKA SID;0;0;PLN;8; PLN;14.41;PLN;17.72;PLN;80,13%;1;A
1788;04254;MASKOTKA PINGWIN;0;0;PLN;5; PLN;9.52;PLN;11.71;PLN;90,40%;1;A
1789;04251;MASKOTKA PIES;0;0;PLN;8; PLN;11.72;PLN;14.42;PLN;46,50%;1;A
1790;25534;Maskotka Pies;0;0;PLN;10; PLN;12;PLN;14.76;PLN;20,00%;;A
1791;04258;MASKOTKA MINI;0;0;PLN;10; PLN;15.02;PLN;18.47;PLN;50,20%;1;A
1792;19991;Maskotka mała J;60;960;PLN;16; PLN;19;PLN;23.37;PLN;18,75%;;A
1793;25237;Maskotka Kucyk;0;0;PLN;9; PLN;12.5;PLN;15.38;PLN;38,89%;0;A
1794;14252;MASKOTKA KOT;0;0;PLN;14.39; PLN;18.7;PLN;23;PLN;29,95%;2;A
1795;03732;Maskotka konik z dźwiękiem406596;16;127.36;PLN;7.96; PLN;11.54;PLN;14.19;PLN;44,97%;2D;D
1796;14255;MASKOTKA J;0;0;PLN;7; PLN;22.8;PLN;28.04;PLN;225,71%;1;A
1797;03699;Masa plastyczna pizza 131044;0;0;PLN;7.89; PLN;11.28;PLN;13.87;PLN;42,97%;0;A
1798;01900;Masa plastyczna 4 pojemniki 090617;8;30;PLN;3.75; PLN;5.33;PLN;6.56;PLN;42,13%;2B;D
1799;02918;Masa plastyczna /12 szt./ 65450;0;0;PLN;1.35; PLN;1.94;PLN;2.39;PLN;43,70%;0;D
1800;02850;Masa plastyczna 967969;30;177.6;PLN;5.92; PLN;8.41;PLN;10.34;PLN;42,06%;8C;D
1801;00098;Masa plastyczna 544152;69;347.07;PLN;5.03; PLN;7.14;PLN;8.78;PLN;41,95%;8C;D
1802;02314;Masa plastyczna 145331;2;17.08;PLN;8.54; PLN;12.13;PLN;14.92;PLN;42,04%;0;D
1803;00314;Masa plastyczna 144549;9;43.02;PLN;4.78; PLN;6.79;PLN;8.35;PLN;42,05%;2B;D
1804;03695;Masa plastyczna 137350;6;47.64;PLN;7.94; PLN;11.35;PLN;13.96;PLN;42,95%;5A;A
1805;01901;Masa plastyczna 131037;0;0;PLN;10.53; PLN;14.95;PLN;18.39;PLN;41,98%;0;D
1806;03693;Masa plastyczna 130979;0;0;PLN;9.25; PLN;13.29;PLN;16.35;PLN;43,68%;0;A
1807;01872;Masa plastyczna 127177;9;58.32;PLN;6.48; PLN;9.2;PLN;11.32;PLN;41,98%;8C;D
1808;73959;Masa plastyczna - Glut Owoc /18szt display/ 967389;0;0;PLN;0.98; PLN;1.5;PLN;1.85;PLN;53,06%;0;A
1809;00795;Masa pierdząca, świnka /display 12szt/ 205062, 391186;48;90.24;PLN;1.88; PLN;2.87;PLN;3.53;PLN;52,66%;0;D
1810;03009;Manitu 968942, 572570;3;33.3;PLN;11.1; PLN;15.76;PLN;19.39;PLN;41,98%;8B;A
1811;01077;Mała Syrenka-Calineczka /324238/;0;0;PLN;8.5; PLN;11.73;PLN;14.43;PLN;38,00%;0;A
1812;05003;Malowidła dla lalek 875543;0;0;PLN;4.37; PLN;6.03;PLN;7.42;PLN;37,99%;0;A
1813;05153;Malowidła dla lalek 809077;0;0;PLN;3.54; PLN;4.78;PLN;5.88;PLN;35,03%;0;A
1814;05154;Malowidła dla lalek 809060;0;0;PLN;3.9; PLN;5.27;PLN;6.48;PLN;35,13%;0;A
1815;05150;Malowidła dla lalek 805512;92;403.88;PLN;4.39; PLN;6.89;PLN;8.47;PLN;56,95%;9K;A
1816;05309;Malowidła dla lalek /TG220150/ 875123/;0;0;PLN;10.62; PLN;14.76;PLN;18.15;PLN;38,98%;2B;A
1817;03281;Malowidła dla lalek /803914/;0;0;PLN;9.36; PLN;13.01;PLN;16;PLN;39,00%;0;A
1818;03701;Malowidła dla lalek 985273;0;0;PLN;4.72; PLN;6.91;PLN;8.5;PLN;46,40%;8;A
1819;02869;Malowidła dla lalek 942955;0;0;PLN;5.39; PLN;7.72;PLN;9.49;PLN;43,23%;0;D
1820;04015;Malowidła dla lalek 873501;0;0;PLN;5.49; PLN;7.96;PLN;9.79;PLN;44,99%;0;A
1821;05002;Malowidła dla lalek 873495;22;148.94;PLN;6.77; PLN;9.67;PLN;11.89;PLN;42,84%;8A;A
1822;01923;Malowidła dla lalek 870838;24;57.36;PLN;2.39; PLN;3.62;PLN;4.45;PLN;51,46%;8A;D
1823;01802;Malowidła dla lalek 822472;0;0;PLN;3.59; PLN;5.1;PLN;6.27;PLN;42,06%;0;D
1824;01748;Malowidła dla lalek 400259;0;0;PLN;6.47; PLN;9.19;PLN;11.3;PLN;42,04%;0;D
1825;05333;Malowidła dla lalek  /986485/;0;0;PLN;6.47; PLN;9.38;PLN;11.54;PLN;44,98%;1;A
1826;05335;Malowidła dla lalek  /956839/;0;0;PLN;5.39; PLN;8.09;PLN;9.95;PLN;50,09%;0;A
1827;2510;MALOWIDŁA DLA LALEK-WINOGRON 3CZ. /G057904      958864;0;0;PLN;8.79; PLN;12.78;PLN;15.72;PLN;45,39%;7;D
1828;1502;MALOWIDŁA DLA LALEK-MOTYL /A16857A/             005187;0;0;PLN;2.85; PLN;4.07;PLN;5.01;PLN;42,81%;8;D
1829;02063;MALOWIDŁA 4CZĘŚCI-KSIĘZYC  /MPD70396/           703962;0;0;PLN;8.68; PLN;12.37;PLN;15.22;PLN;42,51%;0;A
1830;02666;MALOWIDŁA 2CZĘŚCI-MIŚ  /G076119/                970927;0;0;PLN;7.4; PLN;10.91;PLN;13.42;PLN;47,43%;7;A
1831;01760;Make it real - Zestaw kreatywny Bransoletki z Literkami 012052;6;57.54;PLN;9.59; PLN;13.81;PLN;16.99;PLN;44,00%;2C;D
1832;01212;Magiczny piasek 986683;7;79.31;PLN;11.33; PLN;16.09;PLN;19.79;PLN;42,01%;5R;D
1833;01575;Magiczny Piasek 977957;0;0;PLN;11.33; PLN;16.09;PLN;19.79;PLN;42,01%;0;A
1834;73560;Magiczne Koła 1348-2;0;0;PLN;3.98; PLN;5.68;PLN;6.99;PLN;42,71%;1A;A
1835;00090;ŁYŻECZKI SYLIKONOWA KOŃCÓWKA 2SZT./PB3207/      085121;15;39.15;PLN;2.61; PLN;3.05;PLN;3.75;PLN;16,86%;2B;A
1836;05020;Łuk w folii 0082976;0;0;PLN;4.43; PLN;6.32;PLN;7.77;PLN;42,66%;0;A
1837;05242;Łuk na blistrze 981770;0;0;PLN;3.83; PLN;5.44;PLN;6.69;PLN;42,04%;8;A
1838;00939;Łuk na blistrze 427922;0;0;PLN;4.12; PLN;5.85;PLN;7.2;PLN;41,99%;8C;D
1839;02194;ŁUK 42CM +3 STRZAŁY /HL315307/ WOREK            035428;0;0;PLN;1.61; PLN;2.28;PLN;2.8;PLN;41,61%;7;A
1840;05015;Łuk + kolczan 0106013;0;0;PLN;6.97; PLN;9.69;PLN;11.92;PLN;39,02%;9K;A
1841;71234;Łóżeczko składane dla lalek Nr3 (6 elem.) (w woreczku) 062055;2;15.82;PLN;7.91; PLN;10.44;PLN;12.84;PLN;31,98%;0;A
1842;71233;Łóżeczko składane dla lalek Nr2 (5 elem.) (w woreczku) 062048;3;18.6;PLN;6.2; PLN;9.09;PLN;11.18;PLN;46,61%;0;A
1843;13611;łóżeczko małe;1;12;PLN;12; PLN;15.6;PLN;19.19;PLN;30,00%;0;D
1844;11584;Łóżeczko duże;0;0;PLN;18; PLN;23.4;PLN;28.78;PLN;30,00%;7;D
1845;10179;Łóżeczko 980509;4;88;PLN;22; PLN;28.6;PLN;35.18;PLN;30,00%;4;A
1846;71238;Łóżeczko-huśtawka dla lalek Nr3, składane (8 elem.) (w woreczku) 062079;0;0;PLN;8.77; PLN;11.58;PLN;14.24;PLN;32,04%;0;A
1847;71389;Łóżeczko-huśtawka dla lalek Nr3, składane (8 elem.) (w woreczku) 062079;2;15.78;PLN;7.89; PLN;11.57;PLN;14.23;PLN;46,64%;0;D
1848;71235;Łóżeczko-huśtawka dla lalek Nr2, składane (7 elem.) (w woreczku) 062062;0;0;PLN;7.72; PLN;10.19;PLN;12.53;PLN;31,99%;0;A
1849;05504;Łowienie rybek na magnes 398635;6;19.8;PLN;3.3; PLN;4.76;PLN;5.85;PLN;44,24%;2D;A
1850;00768;ŁOPATKA,GRABKI /HEM/                            002462;0;0;PLN;1.36; PLN;1.83;PLN;2.25;PLN;34,56%;9;A
1851;767;ŁOPATKA DUŻA DO PIASKU  X6     /HEM/            000246;0;0;PLN;1.41; PLN;1.95;PLN;2.4;PLN;38,30%;5;D
1852;70166;Łopatka duża 163025;26;68.12;PLN;2.62; PLN;3.41;PLN;4.19;PLN;30,15%;4;A
1853;04357;ŁOPATKA  Z GRABKAMI                                    000895;70;42;PLN;0.6; PLN;0.81;PLN;1;PLN;35,00%;4;A
1854;70754;Łopata duża Viking163148;50;148;PLN;2.96; PLN;3.7;PLN;4.55;PLN;25,00%;4;A
1855;04367;łAPACZ                                          63060;0;0;PLN;3.89; PLN;5.25;PLN;6.46;PLN;34,96%;8;A
1856;00107;Lusterko św, dźw, display 12szt /397478/;1;3.45;PLN;3.45; PLN;5;PLN;6.15;PLN;44,93%;0;A
1857;03003;Lotnisko 966092;1;17.29;PLN;17.29; PLN;23.69;PLN;29.14;PLN;37,02%;0;A
1858;05180;Lotki do kometki 035398;9;7.65;PLN;0.85; PLN;1.2;PLN;1.47;PLN;41,18%;8A;A
1859;05128;Lotki 3 szt;33;53.46;PLN;1.62; PLN;2.27;PLN;2.79;PLN;40,12%;8A;A
1860;02610;Lornetka135967;0;0;PLN;2.1; PLN;3;PLN;3.69;PLN;42,86%;8;A
1861;72902;Lornetka Plastik0070716, 137231;134;270.68;PLN;2.02; PLN;2.72;PLN;3.35;PLN;34,65%;9D;A
1862;05398;Lornetka 6szt/Display  179606;0;0;PLN;14.82; PLN;21.34;PLN;26.25;PLN;43,99%;5;A
1863;04393;Lornetka 000876, 947281, 964807;132;220.44;PLN;1.67; PLN;2.43;PLN;2.99;PLN;45,51%;8A;A
1864;05317;Lokomotywki nakręcane 392596;0;0;PLN;2.12; PLN;3.05;PLN;3.75;PLN;43,87%;0;A
1865;01546;LOKOMOTYWKA Z TOREM  /17526/                    614960;0;0;PLN;6.95; PLN;19.21;PLN;23.63;PLN;176,40%;0;A
1866;03817;Lokomotywka B&GO, św dźw 208414;31;336.97;PLN;10.87; PLN;15.44;PLN;18.99;PLN;42,04%;1A;D
1867;01382;LOKOMOTYWKA - TELEFON DZW/ŚW. /ZM003/           106888;0;0;PLN;15.68; PLN;22.3;PLN;27.43;PLN;42,22%;0;A
1868;03848;Lokomotywa, św, dźw. /396747/;0;0;PLN;15.02; PLN;21.48;PLN;26.42;PLN;43,01%;0;A
1869;04098;Lokomotywa na baterie mówi po polsku 818741;82;901.18;PLN;10.99; PLN;15.73;PLN;19.35;PLN;43,13%;5C;D
1870;04177;Lokomotywa na baterie /461483/;0;0;PLN;14.3; PLN;20.02;PLN;24.62;PLN;40,00%;0;A
1871;00097;Lokomotywa kolorowa na baterie /display 8szt/ 403132;21;144.27;PLN;6.87; PLN;9.76;PLN;12;PLN;42,07%;0;D
1872;05281;Lizak policyjny/125449/;0;0;PLN;2.62; PLN;3.64;PLN;4.48;PLN;38,93%;0;A
1873;02496;Lizak policyjny 136827;5;29.15;PLN;5.83; PLN;8.45;PLN;10.39;PLN;44,94%;0;A
1874;00448;Lizak policyjny 131808;0;0;PLN;2.24; PLN;3.24;PLN;3.99;PLN;44,64%;8;A
1875;05163;Litery i cyfry magnetyczne 304060;6;20.64;PLN;3.44; PLN;4.64;PLN;5.71;PLN;34,88%;8A;A
1876;03051;Literki magnetyczne 402647;6;20.88;PLN;3.48; PLN;4.87;PLN;5.99;PLN;39,94%;5B;D
1877;00866;Literki i cyferki 003864;0;0;PLN;13.12; PLN;16.95;PLN;20.85;PLN;29,19%;0;A
1878;04538;Liczydło mini;0;0;PLN;4.52; PLN;4.52;PLN;5.56;PLN;0,00%;0;A
1879;04537;Liczydło;0;0;PLN;7.14; PLN;7.14;PLN;8.78;PLN;0,00%;0;A
1880;01189;Liczmany  013481;6;37.92;PLN;6.32; PLN;8.22;PLN;10.11;PLN;30,06%;0;A
1881;05319;Leżaczek z wibracjami /95009/;0;0;PLN;98.22; PLN;132.6;PLN;163.1;PLN;35,00%;0;A
1882;05321;Leżaczek dla dziecka do 18 kg. wibracje, dźwięk /94583/;0;0;PLN;102.81; PLN;138.79;PLN;170.71;PLN;35,00%;0;A
1883;05323;Leżaczek dla dziecka do 18 kg. wibracje, dźwięk /394590/;0;0;PLN;102.81; PLN;138.79;PLN;170.71;PLN;35,00%;0;A
1884;05322;Leżaczek dla dziecka do 18 kg. wibracje, dźwięk /394576/;0;0;PLN;102.81; PLN;138.79;PLN;170.71;PLN;35,00%;0;A
1885;05320;Leżaczek  z wibracjami i dźw. do 18 kg. /395061/;0;0;PLN;96.95; PLN;130.88;PLN;160.98;PLN;35,00%;0;A
1886;01070;Leśne przygody Pszczółki /324283/;0;0;PLN;8.5; PLN;11.73;PLN;14.43;PLN;38,00%;0;A
1887;03692;LEKARZ W PUDEŁKU  /MPJ88785/              86625,887853;0;0;PLN;5.09; PLN;6.88;PLN;8.46;PLN;35,17%;9;A
1888;03175;Laweta z autkami 398420;0;0;PLN;3.99; PLN;5.68;PLN;6.99;PLN;42,36%;7;A
1889;05539;Laweta z autami 301190;5;44;PLN;8.8; PLN;12.5;PLN;15.38;PLN;42,05%;1F;A
1890;05630;Latawiec orzeł 148219;0;0;PLN;3.29; PLN;4.67;PLN;5.74;PLN;41,95%;9A;A
1891;02576;Latawiec nietoperz 134953;0;0;PLN;3.39; PLN;4.87;PLN;5.99;PLN;43,66%;5;A
1892;03001;LATAWIEC DO MONTAŻU PLASTIKOWY /G029112/        955528;2;5.84;PLN;2.92; PLN;3.99;PLN;4.91;PLN;36,64%;0;A
1893;05628;Latawiec 147519;20;82.2;PLN;4.11; PLN;5.84;PLN;7.18;PLN;42,09%;9A;A
1894;05629;Latawiec 147496;20;65.8;PLN;3.29; PLN;4.67;PLN;5.74;PLN;41,95%;9F;A
1895;05632;Latawiec 147489;0;0;PLN;2.17; PLN;3.08;PLN;3.79;PLN;41,94%;9A;A
1896;05631;Latawiec 147472;10;63.9;PLN;6.39; PLN;9.07;PLN;11.16;PLN;41,94%;9A;A
1897;00184;LATAJĄCY SOLARNY MOTYLEK  /BJ/2015              615653;3;26.07;PLN;8.69; PLN;10.5;PLN;12.92;PLN;20,83%;7C;A
1898;00814;Latający dysk ze światłem 399052;0;0;PLN;7.05; PLN;10;PLN;12.3;PLN;41,84%;3;A
1899;00684;LATAJĄCA BILA MNJ.W SIATCE 303223;4;13.64;PLN;3.41; PLN;4.6;PLN;5.66;PLN;34,90%;0;A
1900;01679;LATAJĄCA BILA 300543;0;0;PLN;3.22; PLN;4.35;PLN;5.35;PLN;35,09%;7;A
1901;04135;Lama gniotek /12 szt. w op./311235;1;1.79;PLN;1.79; PLN;2.59;PLN;3.19;PLN;44,69%;0;D
1902;25239;Lalki F duże;0;0;PLN;17; PLN;20.4;PLN;25.09;PLN;20,00%;;D
1903;25238;Lalki F;0;0;PLN;11; PLN;13.2;PLN;16.24;PLN;20,00%;;D
1904;05353;LALKA+MAŁA Z WÓZKIEM NA KARCIE /MPA20197/       201970;0;0;PLN;5.25; PLN;7.46;PLN;9.18;PLN;42,10%;8;A
1905;05393;Lalka689978;0;0;PLN;7; PLN;10.85;PLN;13.35;PLN;55,00%;0;A
1906;00113;Lalka ze zwierzętami 996781;0;0;PLN;7.01; PLN;9.96;PLN;12.25;PLN;42,08%;8;D
1907;04305;Lalka ze skuterem/969246/;0;0;PLN;7.43; PLN;12.23;PLN;15.04;PLN;64,60%;0;A
1908;04572;Lalka ze skrzydełkami na baterie 870487;5;37.35;PLN;7.47; PLN;10.56;PLN;12.99;PLN;41,37%;5C;A
1909;05223;Lalka ze skrzydełkami 341644;0;0;PLN;6.95; PLN;10.08;PLN;12.4;PLN;45,04%;0;A
1910;00599;Lalka zakochana księżniczka w różku 29cm /display 12szt/ 300819;0;0;PLN;4.95; PLN;7.18;PLN;8.83;PLN;45,05%;0;D
1911;00435;Lalka zakochana księżniczka 29cm w różku /display 12szt/ 300833;0;0;PLN;4.95; PLN;7.18;PLN;8.83;PLN;45,05%;7;A
1912;01487;Lalka z koniem 998525;0;0;PLN;8.9; PLN;12.67;PLN;15.59;PLN;42,36%;0;D
1913;01145;Lalka z koniem 996866;0;0;PLN;6.2; PLN;8.85;PLN;10.89;PLN;42,74%;8;D
1914;05326;Lalka z dźwiękiem /G090049/985761/;0;0;PLN;12.68; PLN;20.86;PLN;25.66;PLN;64,51%;1;A
1915;04032;Lalka z dzieckiem + akc. 576836, 571008;16;153.6;PLN;9.6; PLN;13.63;PLN;16.76;PLN;41,98%;7A;A
1916;05334;Lalka z akcesoriami /952480/;0;0;PLN;6.74; PLN;9.71;PLN;11.94;PLN;44,07%;0;A
1917;05332;Lalka z akcesoriami /941101/;0;0;PLN;13.49; PLN;18.75;PLN;23.06;PLN;38,99%;0;A
1918;05330;Lalka z akcesoriami /879114/;0;0;PLN;8.64; PLN;12.01;PLN;14.77;PLN;39,00%;0;A
1919;01705;Lalka z akcesoriami 996903;2;14.56;PLN;7.28; PLN;10.34;PLN;12.72;PLN;42,03%;0;D
1920;00101;Lalka z akcesoriami 996873;13;87.62;PLN;6.74; PLN;9.59;PLN;11.79;PLN;42,28%;2D;D
1921;01579;Lalka z akcesoriami 996842;0;0;PLN;10.52; PLN;14.95;PLN;18.39;PLN;42,11%;0;D
1922;02038;Lalka z akcesoriami 9402376;0;0;PLN;29.15; PLN;40.64;PLN;49.99;PLN;39,42%;0;D
1923;04184;Lalka z akcesoriami 819526;0;0;PLN;14.4; PLN;20.32;PLN;24.99;PLN;41,11%;0;D
1924;04183;Lalka z akcesoriami 818833;2;30.12;PLN;15.06; PLN;21.13;PLN;25.99;PLN;40,31%;0;D
1925;01727;Lalka z akcesoriami 408262;34;330.82;PLN;9.73; PLN;13.82;PLN;17;PLN;42,03%;5A;D
1926;01351;LALKA Z AKCESORIAMI  /G089752/986126/;0;0;PLN;12.68; PLN;17.5;PLN;21.53;PLN;38,01%;0;A
1927;00987;LALKA WRÓŻKA LATAJĄCA MNJ. /MPE97965/           979657;0;0;PLN;18.87; PLN;26.78;PLN;32.94;PLN;41,92%;0;A
1928;04021;Lalka w zestawie 034554;0;0;PLN;5.3; PLN;7.31;PLN;8.99;PLN;37,92%;0;A
1929;04020;Lalka w zestawie    033021;0;0;PLN;5.09; PLN;8.01;PLN;9.85;PLN;57,37%;0;A
1930;00186;Lalka w sukni balowej /TAT2068-19/393500/;0;0;PLN;7.6; PLN;10.56;PLN;12.99;PLN;38,95%;0;A
1931;00289;Lalka w nosidełku 964975;32;336.32;PLN;10.51; PLN;14.63;PLN;17.99;PLN;39,20%;9E;D
1932;05645;Lalka w nosidełku 148882;0;0;PLN;9.14; PLN;12.98;PLN;15.97;PLN;42,01%;8A;A
1933;05596;Lalka w ciąży 136261;13;122.07;PLN;9.39; PLN;13.33;PLN;16.39;PLN;41,96%;1B;A
1934;05265;Lalka Tosia 35 cm;0;0;PLN;14.38; PLN;18.69;PLN;22.99;PLN;29,97%;;A
1935;14463;LALKA śWIECąCA;0;0;PLN;13.59; PLN;17;PLN;20.91;PLN;25,09%;1;A
1936;02593;LALKA ŚPIEWAJACA Z AKCESORIAMI /KT6300F/        000747;0;0;PLN;28.5; PLN;38.99;PLN;47.96;PLN;36,81%;0;A
1937;01588;Lalka Szmacianka Mała 819647, 878711;34;139.74;PLN;4.11; PLN;5.84;PLN;7.18;PLN;42,09%;5R;A
1938;05340;Lalka szmacianka j.polski /TG400738/810684/;0;0;PLN;17.39; PLN;24.17;PLN;29.73;PLN;38,99%;0;A
1939;05647;Lalka szmacianka Dorotka śpiewająca i mówiąca po polsku 145126;34;538.22;PLN;15.83; PLN;22.48;PLN;27.65;PLN;42,01%;8A;A
1940;01587;LALKA SZMACIANKA 30CM. /PG2870/                 828700;0;0;PLN;5.27; PLN;7.62;PLN;9.37;PLN;44,59%;0;A
1941;03056;LALKA SZMACIANKA  J.POLSKI  /TG400737/810691/;16;230.24;PLN;14.39; PLN;20;PLN;24.6;PLN;38,99%;9D;A
1942;04442;LALKA SZMACIANKA                               009375;0;0;PLN;6.9; PLN;9.33;PLN;11.48;PLN;35,22%;0;A
1943;04443;LALKA SZMACIANKA                                009368;0;0;PLN;8.9; PLN;12.03;PLN;14.8;PLN;35,17%;0;A
1944;00945;Lalka Syrenka ze światłem 939597;0;0;PLN;5.6; PLN;7.95;PLN;9.78;PLN;41,96%;0;D
1945;02755;Lalka syrenka ze światłem 410340;96;565.44;PLN;5.89; PLN;8.36;PLN;10.28;PLN;41,94%;7C;D
1946;02056;Lalka syrenka na baterie 879985;0;0;PLN;5.82; PLN;8.12;PLN;9.99;PLN;39,52%;0;D
1947;01309;LALKA SYRENKA 35CM.+AKC. /TA532-4/  BLIST       004902;0;0;PLN;2.94; PLN;4.41;PLN;5.43;PLN;50,00%;0;A
1948;00122;Lalka Syrenka 29cm Display 12/48 300710;0;0;PLN;7.25; PLN;10.3;PLN;12.67;PLN;42,07%;0;A
1949;03743;LALKA SYRENKA + AKC. /MPF42433/  PUD.           424331;0;0;PLN;6.95; PLN;9.93;PLN;12.22;PLN;42,88%;8;A
1950;03181;Lalka syrenka 993004, 408866;80;282.4;PLN;3.53; PLN;5.08;PLN;6.25;PLN;43,91%;2D;A
1951;01312;Lalka syrenka 300925;0;0;PLN;8; PLN;11.36;PLN;13.97;PLN;42,00%;0;D
1952;03480;Lalka superbohaterowie 300414;0;0;PLN;5; PLN;7.11;PLN;8.75;PLN;42,20%;0;D
1953;05372;Lalka sikająca/B764/133154/;0;0;PLN;19.02; PLN;29.13;PLN;35.83;PLN;53,15%;2D;A
1954;00538;Lalka sikająca bateria 105847;0;0;PLN;34.17; PLN;48.52;PLN;59.68;PLN;42,00%;0;D
1955;05360;Lalka przytulanka z dźwiękiem /972020/G076179/;1;10.79;PLN;10.79; PLN;15.65;PLN;19.25;PLN;45,04%;0;A
1956;05378;Lalka przytulanka z dźwiękiem 982821;0;0;PLN;7.66; PLN;11.79;PLN;14.5;PLN;53,92%;;A
1957;01163;LALKA PRZYTULANKA J.POLSKI 972020,877356;52;554.84;PLN;10.67; PLN;15.15;PLN;18.63;PLN;41,99%;7C;A
1958;04395;LALKA PARKA W WORKU                             113070;0;0;PLN;2.2; PLN;3.01;PLN;3.7;PLN;36,82%;0;A
1959;04394;LALKA PARKA W WORKU                             113060;0;0;PLN;2.2; PLN;3.01;PLN;3.7;PLN;36,82%;0;A
1960;01548;Lalka na skuterze 307979;0;0;PLN;20.43; PLN;28.86;PLN;35.5;PLN;41,26%;0;D
1961;75583;Lalka na baterie 861852;0;0;PLN;14.63; PLN;19.5;PLN;23.99;PLN;33,29%;1F;A
1962;75582;Lalka na baterie 139073;0;0;PLN;12.19; PLN;16.25;PLN;19.99;PLN;33,31%;0;A
1963;75584;Lalka na baterie 123699;0;0;PLN;14.63; PLN;19.5;PLN;23.99;PLN;33,29%;0;A
1964;00200;Lalka malutka w szafie 403859;0;0;PLN;2.52; PLN;3.58;PLN;4.4;PLN;42,06%;0;D
1965;00550;Lalka malutka /display 12szt/ 04016;0;0;PLN;2.21; PLN;3.14;PLN;3.86;PLN;42,08%;0;D
1966;05264;Lalka Maja 20cm  /045836 / ;0;0;PLN;9.42; PLN;12.25;PLN;15.07;PLN;30,04%;0;A
1967;00131;Lalka magiczna baletnica ze skrzydełkami 29cm /display 12szt/ 300680;0;0;PLN;4.95; PLN;7.03;PLN;8.65;PLN;42,02%;0;D
1968;00382;LALKA LODOWA 2SZT.W PUDEŁKU                     293726;0;0;PLN;16.06; PLN;21.9;PLN;26.94;PLN;36,36%;0;A
1969;00535;Lalka księżniczka Gala 29cm /display 12szt/ 300703;0;0;PLN;6.99; PLN;10.14;PLN;12.47;PLN;45,06%;0;D
1970;04199;Lalka dźwiękowa masza 812787;0;0;PLN;10.8; PLN;15.44;PLN;18.99;PLN;42,96%;0;A
1971;71846;Lalka duża siedząca ;0;0;PLN;20.32; PLN;27.09;PLN;33.32;PLN;33,32%;0;A
1972;00159;Lalka Dorotka śpiewająca i mówiąca po polsku 116881;3;46.83;PLN;15.61; PLN;22.17;PLN;27.27;PLN;42,02%;0;D
1973;00085;Lalka Dorotka śpiewająca i mówiąca po polsku 116799;3;46.74;PLN;15.58; PLN;22.12;PLN;27.21;PLN;41,98%;0;D
1974;05545;Lalka Dorotka śpiewająca i mówiąca po polsku 116478;0;0;PLN;22.38; PLN;31.3;PLN;38.5;PLN;39,86%;0;A
1975;00537;Lalka Dorotka śpiewa i mówi po polsku 127528;0;0;PLN;38.21; PLN;54.26;PLN;66.74;PLN;42,00%;0;D
1976;00539;Lalka Dorotka śpiewa i mówi po polsku 121779;0;0;PLN;23.95; PLN;38.32;PLN;47.13;PLN;60,00%;0;D
1977;03166;Lalka Dorotka szmacianka śpiewa i mówi po polsku 141531;0;0;PLN;9.51; PLN;13.5;PLN;16.61;PLN;41,96%;0;D
1978;00880;Lalka Dorotka szmacianka śpiewa i mówi po polsku 106660;0;0;PLN;10.3; PLN;14.42;PLN;17.74;PLN;40,00%;0;A
1979;02985;Lalka Dorotka szmacianka śpiewa i mówi po polsku 106653;0;0;PLN;10.85; PLN;15.19;PLN;18.68;PLN;40,00%;0;A
1980;04060;Lalka Dorotka szmacianka śpiewa i mówi po polsku 105960;0;0;PLN;10.47; PLN;14.87;PLN;18.29;PLN;42,02%;5C;A
1981;04059;Lalka Dorotka szmacianka śpiewa i mówi po polsku  /109678/;0;0;PLN;13.65; PLN;19.11;PLN;23.51;PLN;40,00%;0;A
1982;04058;Lalka Dorotka szmacianka śpiewa i mówi po polsku  /109661/;0;0;PLN;10.64; PLN;14.9;PLN;18.33;PLN;40,04%;0;A
1983;04061;Lalka Dorotka szmacianka śpiewa i mówi po polsku  /106660/;0;0;PLN;10.3; PLN;14.42;PLN;17.74;PLN;40,00%;1;A
1984;04062;Lalka Dorotka szmacianka śpiewa i mówi po polsku  /106622/;0;0;PLN;10.51; PLN;14.71;PLN;18.09;PLN;39,96%;0;A
1985;03106;Lalka Dorotka mówiąca i śpiewająca po polsku /116775/;0;0;PLN;12.65; PLN;18.09;PLN;22.25;PLN;43,00%;0;A
1986;05646;Lalka Dorotka Bobas śpiewająca i mówiąca po polsku 116782;21;203.49;PLN;9.69; PLN;13.76;PLN;16.92;PLN;42,00%;8A;A
1987;05343;Lalka długie włosu j.polski 55 cm /TG000022/804898/;0;0;PLN;29.99; PLN;41.69;PLN;51.28;PLN;39,01%;0;A
1988;05542;Lalka chłopiec 140633;14;173.32;PLN;12.38; PLN;17.58;PLN;21.62;PLN;42,00%;8C;A
1989;03876;LALKA CHŁOPAK  /TG364289/                       879107;0;0;PLN;3.61; PLN;5.21;PLN;6.41;PLN;44,32%;0;A
1990;00133;Lalka Bobas Zuzia z akcesor (Pielucha, butelka) 309225;0;0;PLN;27.58; PLN;38.61;PLN;47.49;PLN;39,99%;0;D
1991;03729;Lalka bobas z akcesoriami 999959;1;26.45;PLN;26.45; PLN;37.07;PLN;45.59;PLN;40,15%;0;D
1992;05339;Lalka bobas j.polski 37 cm877257;0;0;PLN;16.19; PLN;23;PLN;28.29;PLN;42,06%;0;A
