Lp;Kod;Nazwa;Ilość;Wartość magazynowa;Wartość magazynowa 1;Ostatnia zakupu [netto];Ostatnia zakupu [netto] 1;Detal [netto] [PLN];Detal [netto] [PLN] 1;Detal [brutto] [PLN];Detal [brutto] [PLN] 1;% narzutu;Mag.;Chodliwość:Towar
157;04071;Zestaw lekarski z polskim modułem dźwiękowym 145072;0;0;PLN;13.14; PLN;18.66;PLN;22.95;PLN;42,01%;0;A
158;04073;Zestaw lekarski z polskim modułem dźwiękowym 138012;174;748.2;PLN;4.3; PLN;6.24;PLN;7.68;PLN;45,12%;9A;A
159;03942;ZESTAW LEKARSKI NA KARCIE  /G033164/923756;0;0;PLN;3.67; PLN;5.25;PLN;6.46;PLN;43,05%;0;A
160;00230;Zestaw lekarski na blistrze 993674;17;60.01;PLN;3.53; PLN;5.01;PLN;6.16;PLN;41,93%;8C;D
161;00223;Zestaw lekarski na blistrze 409771;0;0;PLN;2.77; PLN;4.02;PLN;4.95;PLN;45,13%;1A;D
162;00819;ZESTAW LEKARSKI /Q2719/129171/;0;0;PLN;12.29; PLN;17.33;PLN;21.32;PLN;41,01%;0;A
163;02052;ZESTAW LEKARSKI /Q2718/129164/;0;0;PLN;12.66; PLN;17.85;PLN;21.96;PLN;41,00%;0;A
164;05365;Zestaw lekarski /MPH59766x/597660;0;0;PLN;9.87; PLN;14.02;PLN;17.24;PLN;42,05%;0;A
165;05098;Zestaw lekarski 942313;17;174.25;PLN;10.25; PLN;14.59;PLN;17.95;PLN;42,34%;7B;A
166;01115;Zestaw Lekarski 132799;7;14.98;PLN;2.14; PLN;3.04;PLN;3.74;PLN;42,06%;0;A
167;05292;Zestaw lekarski   /107568/;0;0;PLN;3.07; PLN;4.27;PLN;5.25;PLN;39,09%;1;A
168;04390;ZESTAW LEKARSKI                                 215146;0;0;PLN;25.99; PLN;32.49;PLN;39.96;PLN;25,01%;0;A
169;00359;"ZESTAW LALEK 7"" W PUDEŁKU /MPA12116/            121162";0;0;PLN;5.58; PLN;7.76;PLN;9.54;PLN;39,07%;0;A
170;05366;Zestaw lalek 13086 ;0;0;PLN;4.91; PLN;7.31;PLN;8.99;PLN;48,88%;2D;A
171;03004;Zestaw kuchnia /965736/;3;108.45;PLN;36.15; PLN;50.97;PLN;62.69;PLN;41,00%;0;A
172;05395;Zestaw kuchenny361391;0;0;PLN;4.24; PLN;6.09;PLN;7.49;PLN;43,63%;0;A
173;3799;ZESTAW KUCHENNY W PUD. /G041024/                936121;0;0;PLN;10.37; PLN;15.14;PLN;18.62;PLN;46,00%;0;D
174;02191;Zestaw kuchenny Stół + krzesła 007510;21;99.54;PLN;4.74; PLN;6.73;PLN;8.28;PLN;41,98%;9C;D
175;02536;Zestaw kuchenny na blistrze 995746;0;0;PLN;4.12; PLN;6.06;PLN;7.45;PLN;47,09%;8C;A
176;05138;Zestaw kuchenny na blistrze;0;0;PLN;2.94; PLN;3.98;PLN;4.89;PLN;35,37%;0;A
177;05201;Zestaw kuchenny blister TG369820/802184/;1;5.21;PLN;5.21; PLN;7.21;PLN;8.87;PLN;38,39%;8A;A
178;05296;Zestaw kuchenny /458325/;0;0;PLN;6.15; PLN;8.55;PLN;10.52;PLN;39,02%;0;A
179;04573;Zestaw Kuchenny 803877;31;185.69;PLN;5.99; PLN;8.53;PLN;10.49;PLN;42,40%;5C;A
180;01383;Zestaw kuchenny 756197;0;0;PLN;10.94; PLN;15.53;PLN;19.1;PLN;41,96%;0;D
181;05297;Zestaw kuchenny 496860;0;0;PLN;4.9; PLN;7.03;PLN;8.65;PLN;43,47%;0;A
182;00903;Zestaw kuchenny 447736;26;140.14;PLN;5.39; PLN;7.71;PLN;9.48;PLN;43,04%;8A;D
183;04161;Zestaw kuchenny 141821;1;9.72;PLN;9.72; PLN;13.81;PLN;16.99;PLN;42,08%;0;D
184;05457;Zestaw kuchenny 069693;17;224.23;PLN;13.19; PLN;18.69;PLN;22.99;PLN;41,70%;8B;A
185;04066;Zestaw kuchenny  /986065/;0;0;PLN;9.71; PLN;13.79;PLN;16.96;PLN;42,02%;8;A
186;05273;Zestaw Kuchenny  /973171/;0;0;PLN;15.07; PLN;20.31;PLN;24.98;PLN;34,77%;0;A
187;04265;ZESTAW KUCHENNY;0;0;PLN;7.51; PLN;10.15;PLN;12.49;PLN;35,15%;9;A
188;04535;Zestaw kuchenny;0;0;PLN;3.77; PLN;3.77;PLN;4.64;PLN;0,00%;0;A
189;05318;Zestaw księżnczki, korona, diadem i akc. /004292/;0;0;PLN;5.93; PLN;8.24;PLN;10.14;PLN;38,95%;0;A
190;01106;Zestaw kreatywny /128624/;0;0;PLN;15.83; PLN;22.32;PLN;27.45;PLN;41,00%;0;A
191;01107;Zestaw kreatywny /128617/;0;0;PLN;16.51; PLN;23.28;PLN;28.63;PLN;41,01%;7;A
192;00220;ZESTAW KOWBOJA NA KARCIE /G045030/              949251;0;0;PLN;2.59; PLN;3.74;PLN;4.6;PLN;44,40%;0;A
193;00252;ZESTAW KORALIKÓW PUD./022732/REG                613628;0;0;PLN;4.64; PLN;6.35;PLN;7.81;PLN;36,85%;0;A
194;02107;Zestaw koralików i ozdób 3 wz. 309485;0;0;PLN;7.12; PLN;10.07;PLN;12.39;PLN;41,43%;0;D
195;04574;Zestaw koralików 295245;36;186.84;PLN;5.19; PLN;7.52;PLN;9.25;PLN;44,89%;8A;A
196;03532;ZESTAW KOŃ 30CM.+K0NIK 18CM. /MPF63909/         639094;0;0;PLN;7.29; PLN;9.44;PLN;11.61;PLN;29,49%;9;A
197;01913;Zestaw koników Llili 5 szt. 300666;6;107.4;PLN;17.9; PLN;25.11;PLN;30.89;PLN;40,28%;8C;D
198;05142;Zestaw karabin z łukiem 872856;0;0;PLN;4.98; PLN;6.72;PLN;8.27;PLN;34,94%;0;A
199;02273;Zestaw herbaciany 028501;15;114.3;PLN;7.62; PLN;11.35;PLN;13.96;PLN;48,95%;8C;D
200;01305;Zestaw grzechotek 392039;0;0;PLN;6.18; PLN;8.85;PLN;10.89;PLN;43,20%;2A;A
201;05183;Zestaw gier plenerowych 303315;5;20.5;PLN;4.1; PLN;5.54;PLN;6.81;PLN;35,12%;8A;A
202;00123;Zestaw fryzjerski 682163;0;0;PLN;7.39; PLN;10.53;PLN;12.95;PLN;42,49%;0;D
203;01262;Zestaw fryzjerski 137138;0;0;PLN;6.36; PLN;9.18;PLN;11.29;PLN;44,34%;8;A
204;05402;Zestaw fryzjerka 056090;0;0;PLN;14.45; PLN;20.52;PLN;25.24;PLN;42,01%;0;A
205;03133;Zestaw fast food 407999;9;39.78;PLN;4.42; PLN;6.28;PLN;7.72;PLN;42,08%;2B;D
206;00584;Zestaw fast food - Sandwich /display 10szt/ 408002;44;141.68;PLN;3.22; PLN;4.57;PLN;5.62;PLN;41,93%;0;D
207;02018;Zestaw fast food - Hamburger /12szt display/ 407968;9;25.47;PLN;2.83; PLN;4.02;PLN;4.94;PLN;42,05%;0;D
208;05394;Zestaw domek168216;8;42.4;PLN;5.3; PLN;7.63;PLN;9.38;PLN;43,96%;8B;A
209;04122;Zestaw do wędkowania 312287;5;28;PLN;5.6; PLN;7.96;PLN;9.79;PLN;42,14%;8A;D
210;03593;Zestaw do tworzenia bransoletek 404356;29;196.62;PLN;6.78; PLN;9.67;PLN;11.89;PLN;42,63%;2A;D
211;03684;Zestaw do tworzenia baniek mydlanych 147649;11;119.9;PLN;10.9; PLN;15.04;PLN;18.5;PLN;37,98%;8A;D
212;03293;Zestaw do tenisa stołowego 428769;3;10.44;PLN;3.48; PLN;5;PLN;6.15;PLN;43,68%;0;A
213;00714;ZESTAW DO TENISA-2RAKIETY 53CM. /SPY112810      098053;4;52.4;PLN;13.1; PLN;18.64;PLN;22.93;PLN;42,29%;0;A
214;045450;Zestaw do tenisa;0;0;PLN;4.14; PLN;4.14;PLN;5.09;PLN;0,00%;9;A
215;00575;Zestaw do sprzątania 879831;12;79.08;PLN;6.59; PLN;9.35;PLN;11.5;PLN;41,88%;8C;D
216;00146;Zestaw do robienia biżuterii 310627;0;0;PLN;6.81; PLN;9.67;PLN;11.89;PLN;42,00%;0;D
217;01914;Zestaw do robienia baniek 964838;0;0;PLN;6.44; PLN;9.31;PLN;11.45;PLN;44,57%;1F;A
218;04038;Zestaw do Ping-Ponga 2 paleczki 3 piłeczki 315240;20;85.6;PLN;4.28; PLN;6.08;PLN;7.48;PLN;42,06%;5C;D
219;04215;ZESTAW DO PIASKU DUżY                           300132;0;0;PLN;14; PLN;16.12;PLN;19.83;PLN;15,14%;1;A
220;01767;Zestaw do paznokci 400735;10;93.9;PLN;9.39; PLN;13.33;PLN;16.4;PLN;41,96%;2A;D
221;01869;Zestaw do herbaty 822403;15;116.85;PLN;7.79; PLN;11.06;PLN;13.6;PLN;41,98%;5A;D
222;01868;Zestaw do herbaty 818413;30;221.1;PLN;7.37; PLN;10.47;PLN;12.88;PLN;42,06%;5A;D
223;71239;"Zestaw do gry ""Waga"" (w siatce) 053770 ";1;8.03;PLN;8.03; PLN;10.6;PLN;13.04;PLN;32,00%;0;A
224;04168;Zestaw do gry 994473;1;4.42;PLN;4.42; PLN;6.41;PLN;7.89;PLN;45,02%;0;A
225;05191;Zestaw do golfa 301700;19;103.55;PLN;5.45; PLN;7.79;PLN;9.58;PLN;42,94%;8A;A
226;04279;ZESTAW DO BANIEK;0;0;PLN;3.83; PLN;5.03;PLN;6.19;PLN;31,33%;7A;A
227;00412;Zestaw do badmintona 994480;5;23.6;PLN;4.72; PLN;6.87;PLN;8.45;PLN;45,55%;5B;A
228;01323;Zestaw dinozaurów 601732;1;8.37;PLN;8.37; PLN;11.89;PLN;14.62;PLN;42,05%;7C;D
229;04364;Zestaw Budowniczego - Kamizelka, 4 klucze 112094;14;42;PLN;3; PLN;4.47;PLN;5.5;PLN;49,00%;8A;D
230;01805;ZESTAW BOKSERSKI MNJ.  /261799/                 617995;0;0;PLN;9.02; PLN;12.21;PLN;15.02;PLN;35,37%;0;A
231;04270;ZESTAW BOKSERSKI;0;0;PLN;11.1; PLN;15;PLN;18.45;PLN;35,14%;0;A
232;03595;Zestaw autka metalowe 014874;0;0;PLN;5; PLN;7.15;PLN;8.79;PLN;43,00%;0;D
233;03224;Zestaw aut 995579;31;155.31;PLN;5.01; PLN;7.31;PLN;8.99;PLN;45,91%;5A;A
234;04129;Zestaw 6 zwierząt domowych 309676 ;1;6.19;PLN;6.19; PLN;8.85;PLN;10.89;PLN;42,97%;1D;D
235;04157;Zestaw 4 aut budowlanych 308891;0;0;PLN;5.7; PLN;8.11;PLN;9.98;PLN;42,28%;0;A
236;71370;"Zestaw ""Samochód osobowy z przyczepą"" (kontener) 056658";1;16.27;PLN;16.27; PLN;23.85;PLN;29.34;PLN;46,59%;0;D
237;02686;ZEST.WIĘKSZY Z SUSZARKĄ B/O.  /MPG51070/  10706,392816;0;0;PLN;7.11; PLN;10.74;PLN;13.21;PLN;51,05%;8;A
238;01299;ZEST.STRAŻAKA 923616;0;0;PLN;6.31; PLN;8.64;PLN;10.63;PLN;36,93%;0;A
239;02952;ZEST.RYCERSKI,TARCZA,MIECZE,NAPIERŚNIK/GAZ      958901;0;0;PLN;9.68; PLN;13.76;PLN;16.92;PLN;42,15%;0;A
240;01709;ZEST.POLICYJNY+KAMIZELKA,KASK/66118/SIATKA      661187;0;0;PLN;8.63; PLN;11.23;PLN;13.81;PLN;30,13%;0;A
241;01214;ZEST.DO ROBIENIA BANIEK Z RĘKAWICĄ/G063098      956785;0;0;PLN;4.63; PLN;6.11;PLN;7.51;PLN;31,97%;0;A
242;00443;ZEGAREK DZIECIĘCY PLAST.DUŻY X10                009807;280;327.6;PLN;1.17; PLN;1.59;PLN;1.95;PLN;35,90%;1R;A
243;00648;ZEGAREK BRANSOLETKA  X10  MAŁY;250;172.5;PLN;0.69; PLN;0.93;PLN;1.15;PLN;34,78%;2C;A
244;71257;Zawieszka Sowa z dodatkami 25cm 049384;1;13.93;PLN;13.93; PLN;18.57;PLN;22.84;PLN;33,31%;0;D
245;00922;Zamek z kucykiem pudełko 404283;0;0;PLN;15.44; PLN;21.92;PLN;26.96;PLN;41,97%;0;D
246;03491;ZAMEK DLA LALEK MNJ. /G045136/                  948599;7;183.19;PLN;26.17; PLN;32.36;PLN;39.8;PLN;23,65%;8C;A
247;01071;Zamczyszko Wyspa piratów /324047/;0;0;PLN;8.5; PLN;11.73;PLN;14.43;PLN;38,00%;0;A
248;05251;Zając Kołtunek 31cm w sukience /047151/;0;0;PLN;15.7; PLN;20.41;PLN;25.1;PLN;30,00%;0;A
249;72754;Zabwka ruchoma kiwak osioł;0;0;PLN;12.43; PLN;16.57;PLN;20.38;PLN;33,31%;0;A
250;34231;ZABAWKA Z PLUSZU;0;0;PLN;4.2; PLN;6.27;PLN;7.71;PLN;49,29%;1;A
251;05176;Zabawka samolot 001005;0;0;PLN;6.06; PLN;8.78;PLN;10.8;PLN;44,88%;0;A
252;75579;Zabawka ruchoma kot, lemor ;0;0;PLN;8.12; PLN;10.82;PLN;13.31;PLN;33,25%;0;A
253;04201;ZABAWKA RÓZGA;0;0;PLN;7; PLN;9.45;PLN;11.62;PLN;35,00%;1;A
254;02030;Zabawka piłka 992943;0;0;PLN;5.9; PLN;8.44;PLN;10.38;PLN;43,05%;0;A
255;20;ZABAWKA PIESEK;0;0;PLN;5; PLN;6.76;PLN;8.31;PLN;35,20%;0;D
256;04260;ZABAWKA PIERśCIONEK;0;0;PLN;0.5; PLN;2.36;PLN;2.9;PLN;372,00%;1;A
257;75581;Zabawka na baterie pszczółka ;0;0;PLN;11.7; PLN;15.6;PLN;19.19;PLN;33,33%;0;A
258;75580;Zabawka na baterie kaczka 0176791;41;479.7;PLN;11.7; PLN;15.6;PLN;19.19;PLN;33,33%;1A;A
259;05450;Zabawka na bat Żaba YJ-3008 0048817;52;570.44;PLN;10.97; PLN;15.36;PLN;18.89;PLN;40,02%;9K;A
